																											
																											
																											
Region and country of last residence	1820 to 1829	1830 to 1839	1840 to 1849	1850 to 1859	1860 to 1869	1870 to 1879	1880 to 1889	1890 to 1899	1900 to 1909	1910 to 1919	1920 to 1929	1930 to 1939	1940 to 1949	1950 to 1959	1960 to 1969	1970 to 1979	1980 to 1989	1990 to 1999	2000 to 2009	2010	2011	2012	2013	2014	2015	2016	2017
     Total	"128,502"	"538,381"	"1,427,337"	"2,814,554"	"2,081,261"	"2,742,137"	"5,248,568"	"3,694,294"	"8,202,388"	"6,347,380"	"4,295,510"	"699,375"	"856,608"	"2,499,268"	"3,213,749"	" 4,248,203 "	" 6,244,379 "	" 9,775,398 "	" 10,299,430 "	" 1,042,625 "	"1,062,040"	"1,031,631"	"990,553"	"1,016,518"	"1,051,031"	"1,183,505"	"1,127,167"
Europe	"99,618"	"422,853"	"1,369,423"	"2,622,617"	"1,880,389"	"2,252,050"	"4,638,684"	"3,576,411"	"7,572,569"	"4,985,411"	"2,560,340"	"444,404"	"472,524"	"1,404,973"	"1,133,443"	" 826,327 "	" 669,694 "	" 1,349,219 "	" 1,349,609 "	" 95,429 "	"90,712"	"86,956"	"91,095"	"87,790"	"90,789"	"98,043"	"89,706"
 Austria-Hungary	-	-	-	-	"3,375"	"60,127"	"314,787"	"534,059"	"2,001,376"	"1,154,727"	"60,891"	"13,902"	"13,677"	"113,015"	"27,590"	" 20,387 "	" 20,437 "	" 27,529 "	" 33,929 "	" 4,325 "	"4,703"	" 3,208 "	"2,061"	"2,058"	"2,965"	"2,620"	"2,886"
   Austria	-	-	-	-	"2,700"	"54,529"	"204,805"	"268,218"	"532,416"	"589,174"	"31,392"	"6,678"	"8,496"	"81,354"	"17,571"	" 14,239 "	" 15,374 "	" 18,234 "	" 21,151 "	" 3,319 "	"3,654"	" 2,199 "	"1,053"	"1,088"	"1,928"	"1,621"	"1,962"
   Hungary	-	-	-	-	483	"5,598"	"109,982"	"203,350"	"685,567"	"565,553"	"29,499"	"7,224"	"5,181"	"31,661"	"10,019"	" 6,148 "	" 5,063 "	" 9,295 "	" 12,778 "	" 1,006 "	"1,049"	" 1,009 "	"1,008"	970	"1,037"	999	924
Belgium	28	20	"3,996"	"5,765"	"5,785"	"6,991"	"18,738"	"19,642"	"37,429"	"32,574"	"21,511"	"4,013"	"12,473"	"18,885"	"9,647"	" 5,413 "	" 7,028 "	" 7,077 "	" 8,157 "	 732 	700	 698 	803	775	809	821	742
Bulgaria	-	-	-	-	-	-	-	52	"34,651"	"27,180"	"2,824"	"1,062"	449	97	598	" 1,011 "	" 1,124 "	" 16,948 "	" 40,003 "	" 2,465 "	"2,549"	" 2,322 "	"2,720"	"2,886"	"2,585"	"2,560"	"2,070"
Czechoslovakia	-	-	-	-	-	-	-	-	-	-	"101,182"	"17,757"	"8,475"	"1,624"	"2,758"	" 5,654 "	" 5,678 "	" 8,970 "	" 18,691 "	" 1,510 "	"1,374"	" 1,316 "	"1,258"	"1,168"	"1,236"	"1,299"	"1,142"
Denmark	173	927	671	"3,227"	"13,553"	"29,278"	"85,342"	"56,671"	"61,227"	"45,830"	"34,406"	"3,470"	"4,549"	"10,918"	"9,797"	" 4,405 "	" 4,847 "	" 6,189 "	" 6,049 "	 545 	473	 492 	546	533	634	562	536
Finland	-	-	-	-	3	286	"9,617"	"36,719"	-	-	"16,922"	"2,438"	"2,230"	"4,923"	"4,310"	" 2,829 "	" 2,569 "	" 3,970 "	" 3,970 "	 414 	398	 373 	360	368	397	512	478
France 	"7,694"	"39,330"	"75,300"	"81,778"	"35,938"	"71,901"	"48,193"	"35,616"	"67,735"	"60,335"	"54,842"	"13,761"	"36,954"	"50,113"	"46,975"	" 27,018 "	" 32,894 "	" 36,552 "	" 45,637 "	" 4,339 "	"3,967"	" 4,201 "	"4,668"	"4,544"	"5,034"	"5,473"	"4,973"
Germany	"5,753"	"124,726"	"385,434"	"976,072"	"723,734"	"751,769"	"1,445,181"	"579,072"	"328,722"	"174,227"	"386,634"	"117,736"	"119,403"	"576,905"	"209,616"	" 77,142 "	" 85,752 "	" 92,207 "	" 122,373 "	" 7,929 "	"7,072"	" 6,732 "	"6,880"	"6,387"	"5,965"	"5,895"	"5,369"
Greece	17	49	17	32	51	209	"1,807"	"12,732"	"145,402"	"198,108"	"60,774"	"10,599"	"8,605"	"45,153"	"74,173"	" 102,370 "	" 37,729 "	" 25,403 "	" 16,841 "	 966 	"1,196"	" 1,264 "	"1,526"	"1,388"	"1,330"	"1,664"	"1,495"
Ireland	"51,617"	"170,672"	"656,145"	"1,029,486"	"427,419"	"422,264"	"674,061"	"405,710"	"344,940"	"166,445"	"201,644"	"28,195"	"15,701"	"47,189"	"37,788"	" 11,461 "	" 22,210 "	" 65,384 "	" 15,642 "	" 1,610 "	"1,533"	" 1,694 "	"1,765"	"1,721"	"1,798"	"1,895"	"1,685"
Italy	430	"2,225"	"1,476"	"8,643"	"9,853"	"46,296"	"267,660"	"603,761"	"1,930,475"	"1,229,916"	"528,133"	"85,053"	"50,509"	"189,061"	"200,111"	" 150,031 "	" 55,562 "	" 75,992 "	" 28,329 "	" 2,956 "	"2,670"	" 2,946 "	"3,233"	"3,647"	"3,829"	"4,385"	"4,055"
Netherlands	"1,105"	"1,377"	"7,624"	"11,122"	"8,387"	"14,267"	"52,715"	"29,349"	"42,463"	"46,065"	"29,397"	"7,791"	"13,877"	"46,703"	"37,918"	" 10,373 "	" 11,234 "	" 13,345 "	" 17,351 "	" 1,520 "	"1,258"	" 1,294 "	"1,376"	"1,373"	"1,505"	"1,550"	"1,285"
